Transaction;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6;Item 7
T1;Bread;Wine;Eggs;Meat;Cheese;Pencil;Diaper
T2;Bread;Cheese;Meat;Diaper;Wine;Milk;Pencil
T3;Cheese;Meat;Eggs;Milk;Wine;;
T4;Cheese;Meat;Eggs;Milk;Wine;;
T5;Meat;Pencil;Wine;;;;
T6;Eggs;Bread;Wine;Pencil;Milk;Diaper;Bagel
T7;Wine;Pencil;Eggs;Cheese;;;
T8;Bagel;Bread;Milk;Pencil;Diaper;;
T9;Bread;Diaper;Cheese;Milk;Wine;Eggs;
T10;Bagel;Wine;Diaper;Meat;Pencil;Eggs;Cheese
T11;Cheese;Meat;Eggs;Milk;Wine;;
T12;Bagel;Eggs;Meat;Bread;Diaper;Wine;Milk
T13;Bread;Diaper;Pencil;Bagel;Meat;;
T14;Bagel;Cheese;Milk;Meat;;;
T15;Bread;;;;;;
T16;Pencil;Diaper;Bagel;;;;
T17;Meat;Bagel;Bread;;;;
T18;Bread;Bagel;Milk;;;;
T19;Diaper;;;;;;
T20;Bagel;Cheese;Meat;Bread;Diaper;Eggs;
T21;Meat;Pencil;Cheese;Bread;;;
T22;Cheese;Eggs;Wine;Bread;Milk;Pencil;Meat
T23;Eggs;Bagel;Cheese;Meat;Diaper;;
T24;Diaper;Wine;Eggs;Pencil;Meat;;
T25;Diaper;Meat;Milk;Bread;Bagel;Cheese;
T26;Pencil;;;;;;
T27;Cheese;Meat;Eggs;Milk;Wine;;
T28;Diaper;Meat;Bread;Pencil;Wine;Cheese;Milk
T29;Bread;Bagel;;;;;
T30;Meat;Bread;Eggs;Cheese;Milk;Diaper;
T31;Diaper;Meat;;;;;
T32;Cheese;Bagel;Bread;Diaper;Wine;;
T33;Cheese;Milk;Bread;;;;
T34;Bread;Bagel;Milk;;;;
T35;Diaper;Bread;Wine;Meat;Bagel;;
T36;Bread;Cheese;Milk;Wine;Diaper;;
T37;Bread;Bagel;Milk;;;;
T38;Bread;Bagel;Milk;;;;
T39;Eggs;;;;;;
T40;Bread;Bagel;Milk;;;;
T41;Bread;Bagel;Milk;;;;
T42;Meat;;;;;;
T43;Eggs;Wine;Milk;Cheese;Pencil;Bagel;Bread
T44;Bagel;Eggs;;;;;
T45;Diaper;Wine;Meat;;;;
T46;Diaper;Bread;Bagel;Eggs;Wine;Milk;Cheese
T47;Cheese;Meat;Eggs;Milk;;;
T48;Eggs;Wine;;;;;
T49;Cheese;Meat;Eggs;Milk;Wine;;
T50;Wine;Milk;;;;;
T51;Diaper;;;;;;
T52;Wine;Bread;Bagel;Diaper;Milk;;
T53;Cheese;Meat;Eggs;Milk;Wine;;
T54;Cheese;Meat;Eggs;Milk;;;
T55;Cheese;Diaper;Meat;Wine;Bread;;
T56;Wine;Milk;Diaper;Pencil;Cheese;Eggs;
T57;Cheese;Eggs;Meat;Diaper;Wine;Milk;Bread
T58;Diaper;Eggs;;;;;
T59;Cheese;Meat;Eggs;Milk;Wine;;
T60;Wine;Cheese;Bagel;Pencil;Bread;Meat;Diaper
T61;Milk;Pencil;Cheese;Bagel;;;
T62;Meat;Cheese;Diaper;Wine;;;
T63;Bread;Bagel;Milk;;;;
T64;Bread;Meat;Pencil;Milk;Wine;Diaper;
T65;Pencil;Cheese;Diaper;Wine;Eggs;;
T66;Bread;Diaper;Milk;Pencil;Cheese;Eggs;
T67;Pencil;Milk;Cheese;;;;
T68;Eggs;Bagel;Bread;;;;
T69;Diaper;Bread;Cheese;Bagel;Meat;Pencil;
T70;Bread;Bagel;Milk;Diaper;;;
T71;Eggs;Bread;;;;;
T72;Pencil;Milk;Diaper;Eggs;;;
T73;Pencil;Milk;Meat;Cheese;;;
T74;Bagel;Bread;Diaper;Cheese;Meat;;
T75;Cheese;Meat;Eggs;Milk;;;
T76;Cheese;Meat;Eggs;Milk;;;
T77;Bread;Wine;Eggs;Bagel;Cheese;Pencil;Diaper
T78;Diaper;;;;;;
T79;Cheese;Meat;Eggs;Milk;;;
T80;Milk;;;;;;
T81;Bread;Pencil;;;;;
T82;Wine;Milk;Cheese;;;;
T83;Cheese;Bagel;;;;;
T84;Pencil;Diaper;Wine;;;;
T85;Eggs;Meat;Cheese;;;;
T86;Meat;Bagel;Pencil;;;;
T87;Meat;Eggs;Bagel;Cheese;Wine;;
T88;Bread;Cheese;Wine;Bagel;Milk;Meat;
T89;Meat;Cheese;Pencil;Wine;Bread;;
T90;Milk;Cheese;Wine;Bagel;Meat;Pencil;Bread
T91;Pencil;Cheese;Wine;Milk;Diaper;Bagel;
T92;Bread;Bagel;Milk;;;;
T93;Cheese;Meat;Eggs;Milk;;;
T94;Cheese;Diaper;Pencil;Bagel;Wine;Meat;Eggs
T95;Eggs;Meat;Wine;Bagel;Milk;Cheese;Diaper
T96;Meat;;;;;;
T97;Bread;Bagel;Milk;;;;
T98;Pencil;;;;;;
T99;Wine;Diaper;Bread;Cheese;;;
T100;Bagel;Pencil;Wine;Meat;;;
T101;Wine;Bread;;;;;
T102;Bread;Milk;Eggs;Cheese;Wine;Pencil;
T103;Cheese;Milk;Meat;Eggs;Bagel;;
T104;Cheese;Meat;Eggs;Milk;;;
T105;Diaper;Wine;Meat;Eggs;;;
T106;Meat;Diaper;;;;;
T107;Pencil;Wine;Bread;Milk;;;
T108;Bagel;Bread;Eggs;Milk;Pencil;Meat;Wine
T109;Milk;Cheese;Wine;Meat;Bagel;Diaper;Bread
T110;Bagel;Diaper;Milk;Cheese;Wine;;
T111;Bread;Bagel;Milk;;;;
T112;Diaper;;;;;;
T113;Bagel;Pencil;Bread;Cheese;Eggs;;
T114;Bread;Eggs;Cheese;;;;
T115;Meat;Milk;Pencil;;;;
T116;Bread;Cheese;Eggs;Meat;Pencil;Diaper;Wine
T117;Meat;Cheese;;;;;
T118;Eggs;Wine;Bagel;Bread;Meat;;
T119;Bagel;Cheese;;;;;
T120;Bagel;Pencil;Diaper;Wine;Meat;;
T121;Milk;Pencil;;;;;
T122;Pencil;Wine;Bagel;Eggs;Diaper;;
T123;Bread;Meat;Milk;Cheese;Wine;Eggs;Pencil
T124;Bread;Bagel;Milk;;;;
T125;Pencil;Bread;;;;;
T126;Eggs;Milk;Bagel;Wine;;;
T127;Cheese;Pencil;Meat;Eggs;Milk;Bagel;Wine
T128;Cheese;Milk;;;;;
T129;Diaper;Pencil;Milk;Bread;;;
T130;Bread;Bagel;Milk;;;;
T131;Cheese;Meat;Eggs;Milk;;;
T132;Bread;Bagel;Milk;;;;
T133;Diaper;;;;;;
T134;Meat;Bread;Wine;Diaper;Bagel;;
T135;Bagel;;;;;;
T136;Wine;Diaper;;;;;
T137;Meat;Diaper;Eggs;Cheese;Bagel;;
T138;Bread;Pencil;Bagel;Eggs;;;
T139;Milk;Eggs;Meat;Cheese;Bread;Wine;Pencil
T140;Pencil;Eggs;Meat;;;;
T141;Pencil;Bagel;;;;;
T142;Bread;Bagel;Meat;Cheese;Eggs;Pencil;
T143;Milk;Eggs;Bread;Cheese;;;
T144;Milk;;;;;;
T145;Pencil;Meat;Bread;Bagel;Cheese;;
T146;Wine;Eggs;Bread;Diaper;;;
T147;Meat;Cheese;Eggs;Bagel;Wine;Bread;
T148;Meat;Cheese;Bread;Milk;;;
T149;Cheese;Milk;Pencil;Eggs;Bread;Meat;
T150;Bread;;;;;;
T151;Bread;Eggs;Bagel;Diaper;Milk;Meat;Pencil
T152;Milk;Diaper;;;;;
T153;Cheese;Eggs;Meat;Wine;Bagel;Diaper;Bread
T154;Diaper;Bagel;Bread;Pencil;Cheese;Milk;
T155;Diaper;;;;;;
T156;Cheese;Meat;Eggs;Milk;;;
T157;Cheese;Wine;Meat;Bagel;;;
T158;Cheese;Diaper;Eggs;Milk;;;
T159;Wine;Cheese;Meat;Pencil;Eggs;;
T160;Eggs;Bagel;Pencil;Wine;Cheese;;
T161;Bagel;Diaper;;;;;
T162;Meat;;;;;;
T163;Bread;Eggs;Wine;;;;
T164;Bread;Milk;Pencil;Wine;Eggs;Bagel;
T165;Milk;Bread;Bagel;;;;
T166;Bagel;Eggs;;;;;
T167;Wine;Cheese;Milk;Meat;Bread;Eggs;
T168;Meat;Wine;;;;;
T169;Wine;Bread;;;;;
T170;Meat;Eggs;;;;;
T171;Bagel;Milk;Wine;Pencil;Cheese;;
T172;Cheese;Meat;Eggs;Milk;;;
T173;Bread;Diaper;Pencil;Bagel;Cheese;;
T174;Bread;Pencil;Diaper;Cheese;;;
T175;Cheese;Meat;Eggs;Milk;;;
T176;Eggs;Bagel;Meat;Diaper;Pencil;Milk;Bread
T177;Bread;Bagel;Milk;;;;
T178;Diaper;Meat;Wine;Pencil;Bread;;
T179;Eggs;Cheese;;;;;
T180;Cheese;Pencil;Wine;;;;
T181;Eggs;;;;;;
T182;Pencil;Milk;Eggs;;;;
T183;Bagel;Cheese;Eggs;Milk;Meat;Pencil;Bread
T184;Bagel;Diaper;Pencil;Milk;Meat;;
T185;Cheese;Meat;Eggs;Milk;;;
T186;Cheese;Bread;Wine;;;;
T187;Bread;Cheese;Milk;Diaper;Pencil;;
T188;Milk;Pencil;Bagel;Wine;Eggs;Meat;
T189;Wine;Milk;Eggs;Bread;Meat;;
T190;Bread;;;;;;
T191;Bread;Diaper;Pencil;Meat;Wine;;
T192;Cheese;Pencil;;;;;
T193;Bread;Diaper;;;;;
T194;Bagel;Diaper;Wine;Bread;;;
T195;Wine;Bread;Diaper;;;;
T196;Bread;Bagel;Milk;;;;
T197;Diaper;Bagel;;;;;
T198;Bread;Meat;Pencil;Eggs;Cheese;Milk;Wine
T199;Bread;Wine;Diaper;Eggs;Pencil;;
T200;Bread;Wine;Diaper;Eggs;Pencil;;
T201;Bread;Wine;Diaper;;;;
T202;Bread;Wine;Diaper;Eggs;;;
T203;Bread;Wine;Diaper;Eggs;Pencil;Milk;
T204;Wine;Pencil;Eggs;Cheese;;;
T205;Bagel;Bread;Milk;Pencil;Diaper;;
T206;Bread;Diaper;Cheese;Milk;Wine;Eggs;
T207;Bagel;Wine;Diaper;Meat;Pencil;Eggs;Cheese
T208;Cheese;Meat;Eggs;Milk;Wine;;
T209;Bagel;Eggs;Meat;Bread;Diaper;Wine;Milk
T210;Bread;Diaper;Pencil;Bagel;Meat;;
T211;Bagel;Cheese;Milk;Meat;;;
T212;Bread;;;;;;
T213;Pencil;Diaper;Bagel;;;;
T214;Meat;Bagel;Bread;;;;
T215;Bread;Bagel;Milk;;;;
T216;Diaper;;;;;;
T217;Bagel;Cheese;Meat;Bread;Diaper;Eggs;
T218;Meat;Pencil;Cheese;Bread;;;
T219;Cheese;Eggs;Wine;Bread;Milk;Pencil;Meat
T220;Eggs;Bagel;Cheese;Meat;Diaper;;
T221;Diaper;Wine;Eggs;Pencil;Meat;;
T222;Diaper;Meat;Milk;Bread;Bagel;Cheese;
T223;Pencil;;;;;;
T224;Cheese;Meat;Eggs;Milk;Wine;;
T225;Diaper;Meat;Bread;Pencil;Wine;Cheese;Milk
T226;Bread;Bagel;;;;;
T227;Meat;Bread;Eggs;Cheese;Milk;Diaper;
T228;Diaper;Meat;;;;;
T229;Cheese;Bagel;Bread;Diaper;Wine;;
T230;Cheese;Milk;Bread;;;;
T231;Bread;Bagel;Milk;;;;
T232;Diaper;Bread;Wine;Meat;Bagel;;
T233;Bread;Cheese;Milk;Wine;Diaper;;
T234;Bread;Bagel;Milk;;;;
T235;Bread;Bagel;Milk;;;;
T236;Eggs;;;;;;
T237;Bread;Bagel;Milk;;;;
T238;Bread;Bagel;Milk;;;;
T239;Meat;;;;;;
T240;Eggs;Wine;Milk;Cheese;Pencil;Bagel;Bread
T241;Bagel;Eggs;;;;;
T242;Diaper;Wine;Meat;;;;
T243;Diaper;Bread;Bagel;Eggs;Wine;Milk;Cheese
T244;Cheese;Meat;Eggs;Milk;;;
T245;Eggs;Wine;;;;;
T246;Cheese;Meat;Eggs;Milk;Wine;;
T247;Wine;Milk;;;;;
T248;Diaper;;;;;;
T249;Wine;Bread;Bagel;Diaper;Milk;;
T250;Cheese;Meat;Eggs;Milk;Wine;;
T251;Cheese;Meat;Eggs;Milk;;;
T252;Cheese;Diaper;Meat;Wine;Bread;;
T253;Wine;Milk;Diaper;Pencil;Cheese;Eggs;
T254;Cheese;Eggs;Meat;Diaper;Wine;Milk;Bread
T255;Diaper;Eggs;;;;;
T256;Cheese;Meat;Eggs;Milk;Wine;;
T257;Wine;Cheese;Bagel;Pencil;Bread;Meat;Diaper
T258;Milk;Pencil;Cheese;Bagel;;;
T259;Meat;Cheese;Diaper;Wine;;;
T260;Bread;Bagel;Milk;;;;
T261;Bread;Meat;Pencil;Milk;Wine;Diaper;
T262;Pencil;Cheese;Diaper;Wine;Eggs;;
T263;Bread;Diaper;Milk;Pencil;Cheese;Eggs;
T264;Pencil;Milk;Cheese;;;;
T265;Eggs;Bagel;Bread;;;;
T266;Diaper;Bread;Cheese;Bagel;Meat;Pencil;
T267;Bread;Bagel;Milk;Diaper;;;
T268;Eggs;Bread;;;;;
T269;Pencil;Milk;Diaper;Eggs;;;
T270;Pencil;Milk;Meat;Cheese;;;
T271;Bagel;Bread;Diaper;Cheese;Meat;;
T272;Cheese;Meat;Eggs;Milk;;;
T273;Cheese;Meat;Eggs;Milk;;;
T274;Bread;Wine;Eggs;Bagel;Cheese;Pencil;Diaper
T275;Diaper;;;;;;
T276;Cheese;Meat;Eggs;Milk;;;
T277;Milk;;;;;;
T278;Bread;Pencil;;;;;
T279;Wine;Milk;Cheese;;;;
T280;Cheese;Bagel;;;;;
T281;Pencil;Diaper;Wine;;;;
T282;Eggs;Meat;Cheese;;;;
T283;Meat;Bagel;Pencil;;;;
T284;Meat;Eggs;Bagel;Cheese;Wine;;
T285;Bread;Cheese;Wine;Bagel;Milk;Meat;
T286;Meat;Cheese;Pencil;Wine;Bread;;
T287;Milk;Cheese;Wine;Bagel;Meat;Pencil;Bread
T288;Pencil;Cheese;Wine;Milk;Diaper;Bagel;
T289;Bread;Bagel;Milk;;;;
T290;Cheese;Meat;Eggs;Milk;;;
T291;Cheese;Diaper;Pencil;Bagel;Wine;Meat;Eggs
T292;Eggs;Meat;Wine;Bagel;Milk;Cheese;Diaper
T293;Meat;;;;;;
T294;Bread;Bagel;Milk;;;;
T295;Pencil;;;;;;
T296;Wine;Diaper;Bread;Cheese;;;
T297;Bagel;Pencil;Wine;Meat;;;
T298;Wine;Bread;;;;;
T299;Bread;Milk;Eggs;Cheese;Wine;Pencil;
T300;Cheese;Milk;Meat;Eggs;Bagel;;
T301;Cheese;Meat;Eggs;Milk;;;
T302;Diaper;Wine;Meat;Eggs;;;
T303;Meat;Diaper;;;;;
T304;Pencil;Wine;Bread;Milk;;;
T305;Bagel;Bread;Eggs;Milk;Pencil;Meat;Wine
T306;Milk;Cheese;Wine;Meat;Bagel;Diaper;Bread
T307;Bagel;Diaper;Milk;Cheese;Wine;;
T308;Bread;Bagel;Milk;;;;
T309;Diaper;;;;;;
T310;Bagel;Pencil;Bread;Cheese;Eggs;;
T311;Bread;Eggs;Cheese;;;;
T312;Meat;Milk;Pencil;;;;
T313;Bread;Cheese;Eggs;Meat;Pencil;Diaper;Wine
T314;Meat;Cheese;;;;;
T315;Eggs;Wine;Bagel;Bread;Meat;;
